Fecha;Turno;Proveedor;KLS Leche
2023/03/1;M;13001;50
2023/03/1;T;13001;45
2023/03/2;M;13001;40
2023/03/2;T;13001;55
2023/03/3;M;13001;50
2023/03/3;T;13001;43
2023/03/4;M;13001;40
2023/03/4;T;13001;41
2023/03/6;M;13001;53
2023/03/6;T;13001;49
2023/03/7;M;13001;50
2023/03/7;T;13001;48
2023/03/8;M;13001;53
2023/03/8;T;13001;50
2023/03/9;M;13001;50
2023/03/9;T;13001;47
2023/03/10;M;13001;55
2023/03/10;T;13001;45
2023/03/11;M;13001;40
2023/03/11;T;13001;44
2023/03/13;M;13001;52
2023/03/13;T;13001;45
2023/03/1;M;05002;30
2023/03/1;T;05002;25
2023/03/2;T;05002;30
2023/03/3;T;05002;35
2023/03/4;T;05002;38
2023/03/6;T;05002;29
2023/03/7;T;05002;31
2023/03/8;T;05002;33
2023/03/9;T;05002;28
2023/03/10;T;05002;29
2023/03/11;T;05002;33
2023/03/13;T;05002;34
2023/03/9;M;10003;35
2023/03/10;T;13004;25
2023/03/13;M;04005;25
2023/03/13;T;04005;40
